Date,AverageTemperature
2021-01-01 00:00:00,5.4
2021-02-01 00:00:00,6.2
2021-03-01 00:00:00,7.0
2021-04-01 00:00:00,13.4
2021-05-01 00:00:00,19.3
2021-06-01 00:00:00,21.8
2021-07-01 00:00:00,26.3
2021-08-01 00:00:00,26.0
2021-09-01 00:00:00,20.5
2021-10-01 00:00:00,15.1
2021-11-01 00:00:00,11.4
2021-12-01 00:00:00,6.0
2022-01-01 00:00:00,2.2
2022-02-01 00:00:00,5.4
2022-03-01 00:00:00,4.1
2022-04-01 00:00:00,14.3
2022-05-01 00:00:00,16.9
2022-06-01 00:00:00,22.4
2022-07-01 00:00:00,25.0
2022-08-01 00:00:00,26.4
2022-09-01 00:00:00,21.9
2022-10-01 00:00:00,16.3
2022-11-01 00:00:00,11.4
2022-12-01 00:00:00,8.0
2023-01-01 00:00:00,5.3
2023-02-01 00:00:00,3.4
2023-03-01 00:00:00,9.8
2023-04-01 00:00:00,12.3
2023-05-01 00:00:00,16.4
2023-06-01 00:00:00,21.4
2023-07-01 00:00:00,25.7
2023-08-01 00:00:00,27.1
